source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
70768;Issue;13940;Component;IssueComponent;NULL
70769;Issue;13940;Component;IssueComponent;NULL
70770;Issue;13940;Component;IssueComponent;NULL
70771;Issue;13940;Component;IssueComponent;NULL
70772;Issue;13940;Component;IssueComponent;NULL
70773;Issue;13940;Component;IssueComponent;NULL
70774;Issue;13940;Component;IssueComponent;NULL
70775;Issue;12442;Component;IssueComponent;NULL
70775;Issue;12512;Component;IssueComponent;NULL
70775;Issue;15122;Version;IssueVersion;NULL
70775;Issue;15313;Version;IssueFixVersion;NULL
70776;Issue;13815;Component;IssueComponent;NULL
70776;Issue;13821;Component;IssueComponent;NULL
70777;Issue;13940;Component;IssueComponent;NULL
70778;Issue;13940;Component;IssueComponent;NULL
70779;Issue;13940;Component;IssueComponent;NULL
70780;Issue;13940;Component;IssueComponent;NULL
70781;Issue;13940;Component;IssueComponent;NULL
70782;Issue;13940;Component;IssueComponent;NULL
70783;Issue;13940;Component;IssueComponent;NULL
70784;Issue;13940;Component;IssueComponent;NULL
70785;Issue;13940;Component;IssueComponent;NULL
70786;Issue;13940;Component;IssueComponent;NULL
70787;Issue;13940;Component;IssueComponent;NULL
70788;Issue;13940;Component;IssueComponent;NULL
70789;Issue;13940;Component;IssueComponent;NULL
70790;Issue;12516;Component;IssueComponent;NULL
70790;Issue;15018;Version;IssueFixVersion;NULL
70790;Issue;15122;Version;IssueVersion;NULL
70791;Issue;13941;Component;IssueComponent;NULL
70792;Issue;12511;Component;IssueComponent;NULL
70792;Issue;12518;Component;IssueComponent;NULL
70792;Issue;15122;Version;IssueVersion;NULL
70792;Issue;15313;Version;IssueFixVersion;NULL
70793;Issue;13620;Component;IssueComponent;NULL
70793;Issue;14917;Version;IssueFixVersion;NULL
70794;Issue;15359;Component;IssueComponent;NULL
70795;Issue;13612;Component;IssueComponent;NULL
70795;Issue;14632;Version;IssueFixVersion;NULL
70795;Issue;14632;Version;IssueVersion;NULL
70796;Issue;12516;Component;IssueComponent;NULL
70796;Issue;15313;Version;IssueFixVersion;NULL
70796;Issue;15313;Version;IssueVersion;NULL
70797;Issue;14342;Component;IssueComponent;NULL
70798;Issue;13616;Component;IssueComponent;NULL
70798;Issue;15120;Version;IssueFixVersion;NULL
70798;Issue;15120;Version;IssueVersion;NULL
70799;Issue;14100;Component;IssueComponent;NULL
70799;Issue;14803;Version;IssueFixVersion;NULL
70800;Issue;13937;Component;IssueComponent;NULL
70801;Issue;13612;Component;IssueComponent;NULL
70801;Issue;14632;Version;IssueFixVersion;NULL
70801;Issue;14632;Version;IssueVersion;NULL
70802;Issue;12442;Component;IssueComponent;NULL
70802;Issue;13519;Component;IssueComponent;NULL
70802;Issue;13812;Component;IssueComponent;NULL
70802;Issue;14321;Component;IssueComponent;NULL
70802;Issue;15118;Version;IssueVersion;NULL
70802;Issue;15313;Version;IssueFixVersion;NULL
70803;Issue;13818;Component;IssueComponent;NULL
70804;Issue;13937;Component;IssueComponent;NULL
70805;Issue;13937;Component;IssueComponent;NULL
70806;Issue;13937;Component;IssueComponent;NULL
70807;Issue;12442;Component;IssueComponent;NULL
70807;Issue;12512;Component;IssueComponent;NULL
70807;Issue;15122;Version;IssueVersion;NULL
70807;Issue;15607;Version;IssueFixVersion;NULL
70808;Issue;14725;Version;IssueFixVersion;NULL
70809;Issue;13937;Component;IssueComponent;NULL
70811;Issue;13937;Component;IssueComponent;NULL
70812;Issue;13937;Component;IssueComponent;NULL
70813;Issue;14300;Component;IssueComponent;NULL
70814;Issue;14300;Component;IssueComponent;NULL
70815;Issue;14300;Component;IssueComponent;NULL
70816;Issue;13937;Component;IssueComponent;NULL
70817;Issue;13937;Component;IssueComponent;NULL
70818;Issue;13616;Component;IssueComponent;NULL
70818;Issue;13617;Component;IssueComponent;NULL
70818;Issue;15120;Version;IssueFixVersion;NULL
70818;Issue;15120;Version;IssueVersion;NULL
70819;Issue;13937;Component;IssueComponent;NULL
