source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
70385;Issue;13620;Component;IssueComponent;NULL
70385;Issue;14917;Version;IssueFixVersion;NULL
70386;Issue;12516;Component;IssueComponent;NULL
70386;Issue;12901;Component;IssueComponent;NULL
70386;Issue;13512;Version;IssueVersion;NULL
70387;Issue;12516;Component;IssueComponent;NULL
70387;Issue;12901;Component;IssueComponent;NULL
70387;Issue;13512;Version;IssueVersion;NULL
70387;Issue;15018;Version;IssueFixVersion;NULL
70389;Issue;12516;Component;IssueComponent;NULL
70389;Issue;12531;Component;IssueComponent;NULL
70389;Issue;13512;Version;IssueVersion;NULL
